forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-02-01,-1 wk ahead inc death,2021-01-23,GM,Germany,observed,NA,5547
2021-02-01,0 wk ahead inc death,2021-01-30,GM,Germany,observed,NA,5025
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,point,NA,3776
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.010,3323
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.025,3432
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.050,3496
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.100,3553
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.150,3595
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.200,3635
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.250,3662
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.300,3690
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.350,3709
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.400,3730
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.450,3753
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.500,3776
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.550,3797
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.600,3814
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.650,3834
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.700,3850
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.750,3872
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.800,3905
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.850,3949
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.900,3996
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.950,4058
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.975,4128
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.990,4201
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,point,NA,2893
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.010,2193
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.025,2327
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.050,2446
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.100,2539
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.150,2615
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.200,2673
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.250,2741
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.300,2759
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.350,2803
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.400,2831
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.450,2864
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.500,2893
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.550,2957
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.600,2979
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.650,3017
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.700,3041
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.750,3101
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.800,3139
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.850,3229
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.900,3324
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.950,3441
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.975,3569
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.990,3705
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,point,NA,2184
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.010,1381
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.025,1501
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.050,1645
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.100,1770
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.150,1852
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.200,1915
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.250,1984
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.300,2030
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.350,2071
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.400,2115
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.450,2144
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.500,2184
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.550,2258
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.600,2297
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.650,2346
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.700,2369
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.750,2445
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.800,2495
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.850,2615
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.900,2745
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.950,2901
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.975,3076
2021-02-01,3 wk ahead inc death,2021-02-20,GM,Germany,quantile,0.990,3273
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,point,NA,1641
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.010,851
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.025,949
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.050,1084
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.100,1214
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.150,1291
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.200,1367
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.250,1428
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.300,1470
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.350,1514
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.400,1558
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.450,1596
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.500,1641
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.550,1702
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.600,1747
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.650,1805
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.700,1834
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.750,1907
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.800,1963
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.850,2105
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.900,2239
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.950,2437
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.975,2647
2021-02-01,4 wk ahead inc death,2021-02-27,GM,Germany,quantile,0.990,2892
2021-02-01,-1 wk ahead cum death,2021-01-23,GM,Germany,observed,NA,51521
2021-02-01,0 wk ahead cum death,2021-01-30,GM,Germany,observed,NA,56546
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,point,NA,60498
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.010,60040
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.025,60126
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.050,60209
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.100,60274
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.150,60317
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.200,60344
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.250,60373
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.300,60410
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.350,60431
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.400,60455
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.450,60484
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.500,60498
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.550,60518
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.600,60535
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.650,60552
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.700,60580
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.750,60597
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.800,60636
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.850,60679
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.900,60723
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.950,60793
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.975,60862
2021-02-01,1 wk ahead cum death,2021-02-06,GM,Germany,quantile,0.990,60925
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,point,NA,63415
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.010,62254
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.025,62496
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.050,62675
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.100,62823
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.150,62936
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.200,63033
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.250,63103
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.300,63187
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.350,63238
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.400,63295
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.450,63347
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.500,63415
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.550,63470
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.600,63524
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.650,63565
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.700,63622
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.750,63679
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.800,63776
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.850,63892
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.900,64016
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.950,64213
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.975,64418
2021-02-01,2 wk ahead cum death,2021-02-13,GM,Germany,quantile,0.990,64611
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,point,NA,65588
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.010,63649
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.025,64016
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.050,64321
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.100,64583
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.150,64793
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.200,64959
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.250,65104
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.300,65215
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.350,65322
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.400,65372
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.450,65499
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.500,65588
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.550,65755
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.600,65804
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.650,65916
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.700,65984
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.750,66124
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.800,66251
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.850,66500
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.900,66756
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.950,67096
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.975,67433
2021-02-01,3 wk ahead cum death,2021-02-20,GM,Germany,quantile,0.990,67893
2021-02-01,4 wk ahead cum death,2021-02-27,GM,Germany,point,NA,67188
2021-02-01,4 wk ahead cum death,2021-02-27,GM,Germany,quantile,0.010,64489
