forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-02-22,-1 wk ahead inc case,2021-02-13,GM04,Free Hanseatic City of Hamburg,observed,NA,1274
2021-02-22,0 wk ahead inc case,2021-02-20,GM04,Free Hanseatic City of Hamburg,observed,NA,1215
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,point,NA,1230
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.01,1095
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.025,1113
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.05,1126
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.1,1152
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.15,1164
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.2,1180
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.25,1188
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.3,1193
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.35,1203
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.4,1207
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.45,1220
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.5,1230
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.55,1244
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.6,1250
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.65,1261
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.7,1271
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.75,1277
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.8,1287
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.85,1298
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.9,1313
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.95,1352
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.975,1387
2021-02-22,1 wk ahead inc case,2021-02-27,GM04,Free Hanseatic City of Hamburg,quantile,0.99,1427
2021-02-22,2 wk ahead inc case,2021-03-06,GM04,Free Hanseatic City of Hamburg,point,NA,1164
2021-02-22,2 wk ahead inc case,2021-03-06,GM04,Free Hanseatic City of Hamburg,quantile,0.01,961
2021-02-22,2 wk ahead inc case,2021-03-06,GM04,Free Hanseatic City of Hamburg,quantile,0.025,984
2021-02-22,2 wk ahead inc case,2021-03-06,GM04,Free Hanseatic City of Hamburg,quantile,0.05,1008
2021-02-22,2 wk ahead inc case,2021-03-06,GM04,Free Hanseatic City of Hamburg,quantile,0.1,1030
